"longitude","laitude","rescore"
34.525,28.125,-0.101592433738512
34.575,28.125,-0.0927386914039591
34.625,28.125,-0.0943715544144365
129.175,28.125,-0.257661322447657
129.425,28.125,-0.242862230602663
129.475,28.125,-0.239698281623572
33.325,28.075,-0.109870481854717
33.375,28.075,-0.1226229088359
33.575,28.075,-0.15957468302107
33.625,28.075,-0.16374224276088
33.675,28.075,-0.162002189616385
33.725,28.075,-0.167071389921193
34.475,28.075,-0.0933772190036355
34.525,28.075,-0.0979819011235019
34.575,28.075,-0.0949146497646908
34.625,28.075,-0.105535859753039
34.675,28.075,-0.120952013396032
34.725,28.075,-0.177547290242922
34.775,28.075,-0.275988584190391
34.825,28.075,-0.283864800631406
34.875,28.075,-0.286709612543016
34.925,28.075,-0.335507595804173
34.975,28.075,-0.388638543157958
35.025,28.075,-0.450531006432425
35.075,28.075,-0.473851790051484
35.125,28.075,-0.45981893896006
48.775,28.075,-0.174080715520035
48.875,28.075,-0.180395988764511
48.925,28.075,-0.169256950509271
129.125,28.075,-0.257762785018184
129.175,28.075,-0.260623212620315
129.225,28.075,-0.268956808800045
129.275,28.075,-0.281709378904371
129.325,28.075,-0.281007539197835
129.375,28.075,-0.274607613251643
129.425,28.075,-0.264409861424226
-177.425,28.025,-0.106785318218503
-177.275,28.025,-0.110928916288993
33.375,28.025,-0.112258630264737
33.425,28.025,-0.124694336016343
33.475,28.025,-0.142109203760565
33.725,28.025,-0.167628147944054
34.475,28.025,-0.0921411891110961
34.525,28.025,-0.0949417519129515
34.575,28.025,-0.111212883762631
34.625,28.025,-0.131412550599845
34.675,28.025,-0.171252330397874
34.775,28.025,-0.265749150814668
34.825,28.025,-0.272567668204958
34.975,28.025,-0.336028316758844
35.025,28.025,-0.372769761408013
35.125,28.025,-0.385392860669948
35.175,28.025,-0.369893488684346
35.225,28.025,-0.33705208547551
48.775,28.025,-0.18123470813402
48.825,28.025,-0.184249207377184
129.125,28.025,-0.256398409235945
129.175,28.025,-0.263927573753636
129.225,28.025,-0.275465708094024
129.275,28.025,-0.284418809631724
129.325,28.025,-0.285972304668088
-175.825,27.975,-0.130402205999403
-175.775,27.975,-0.122058688966911
-175.725,27.975,-0.11176117825624
33.425,27.975,-0.119784160620909
33.475,27.975,-0.129629433931121
33.525,27.975,-0.147496071286062
33.725,27.975,-0.169187647914331
33.775,27.975,-0.166803380655665
33.825,27.975,-0.162563600539348
34.425,27.975,-0.0911503794684363
34.475,27.975,-0.095672831321365
34.525,27.975,-0.0965160206333938
34.575,27.975,-0.11087798958614
34.625,27.975,-0.131757332934951
34.675,27.975,-0.163087356405712
34.725,27.975,-0.202795389615433
34.775,27.975,-0.225383604826296
34.825,27.975,-0.235554770381791
34.875,27.975,-0.24509435248477
34.925,27.975,-0.270646122844793
35.025,27.975,-0.329472363942113
35.175,27.975,-0.317264125284359
35.225,27.975,-0.283220672696449
50.175,27.975,-0.119614982887992
121.225,27.975,-0.234544211580313
129.125,27.975,-0.259383665154763
129.175,27.975,-0.269192128244897
129.225,27.975,-0.281618137347085
129.275,27.975,-0.283532794621237
129.325,27.975,-0.284552139213684
-176.175,27.925,-0.139909473280647
-175.925,27.925,-0.145363064344479
-175.875,27.925,-0.138048845978975
-175.825,27.925,-0.129264362628612
-175.775,27.925,-0.113345263775273
-175.725,27.925,-0.109123426433415
